Name,Checklist
Kitchen,"Cookware set|Frying pans|Lids|Sheet pans|Baking dish|Cooling rack|Cutting board|Mixing bowls|Colander|Can opener|Tongs|Spatula|Whisk|Wooden spoons|Peeler|Box grater|Ice cream scoop|Chef knife|Bread knife|Paring knife|Knife storage|Food storage containers|Zip bags|Foil|Plastic wrap|Coffee maker|Coffee|Filters|Sugar|Creamer|Syrups|Mugs|Brita pitcher|Glasses|Wine glasses|Plates|Bowls|Flatware|Steak knives|Serving bowls|Serving utensils|Salad spinner|Cookie spatula|Griddle pan|Waffle iron|Microwave-safe bowls|Splatter cover|Fridge bins|Egg holder|Can organizer|Olive oil|Neutral oil|Flour|Sugar pantry|Salt|Pepper|Garlic powder|Onion powder|Paprika|Italian seasoning|Chili powder|Cinnamon|Sponges|Scrubbers|Dish soap|Paper towels|Trash can|Trash bags|All-purpose cleaner|Grill|Propane tank|Grill tools|Grill cover"
Lower Bath,"Hand soap|Toilet paper|Trash can|Trash bags|Plunger|Toilet brush|Towels|Hand towels|Washcloths|Soap dispenser|Toothbrush holder|Drawer organizer|Hooks"
Upper Bath,"Hand soap|Toilet paper|Trash can|Trash bags|Plunger|Toilet brush|Towels|Hand towels|Washcloths|Soap dispenser|Toothbrush holder|Drawer organizer|Hooks"
Caddy 1,"Shampoo|Conditioner|Body wash|Razors|Shaving cream|Bar soap|Toothbrushes|Toothpaste|Floss|Q-tips|Cotton rounds|Makeup wipes|Lotion|Hair ties|Shower caps"
Caddy 2,"Shampoo|Conditioner|Body wash|Razors|Shaving cream|Bar soap|Toothbrushes|Toothpaste|Floss|Q-tips|Cotton rounds|Makeup wipes|Lotion|Hair ties|Shower caps"
Caddy 3,"Shampoo|Conditioner|Body wash|Razors|Shaving cream|Bar soap|Toothbrushes|Toothpaste|Floss|Q-tips|Cotton rounds|Makeup wipes|Lotion|Hair ties|Shower caps"
Caddy 4,"Shampoo|Conditioner|Body wash|Razors|Shaving cream|Bar soap|Toothbrushes|Toothpaste|Floss|Q-tips|Cotton rounds|Makeup wipes|Lotion|Hair ties|Shower caps"
Laundry,"Hamper|Laundry basket|Drying rack|HE detergent pods|Enzyme stain remover|Oxygen bleach|Reusable lint roller|Wool dryer balls|All-purpose cleaner|Trash can"
